status,study,task,model,method,seed,run_mode,experiment_id,variant,run_signature,train_rows,validation_rows,test_rows,epochs_requested,learning_rate,class_weighting,train_seconds,trainable_params,total_params,trainable_parameter_ratio,test_loss,test_accuracy,test_macro_f1,test_macro_precision,test_macro_recall,true_label_counts,predicted_label_counts,predicted_class_count,predicted_class_coverage,majority_prediction_rate,normalized_prediction_entropy,constant_prediction_collapse,near_constant_prediction,epochs_completed,global_step,best_validation_macro_f1
COMPLETE,study2,tweet_emotion,FacebookAI/roberta-base,bitfit,62,FOLLOWUP,collapse_followup_v2_pilot,higher_lr_weighted,2048e0719c408e437b2e9202d2649435d73d48d5eefe6e82539eea5dcdbf7733,1024,374,1421,5,0.00050000000000000001,inverse_sqrt_frequency,34.925649499986321,695812,124648708,0.0055821838121257001,0.74867689609527555,0.74595355383532724,0.69880766864577071,0.72353252780730681,0.68546881137645632,"[558, 358, 123, 382]","[594, 373, 82, 372]",4,1,0.41801548205489092,0.88808969519432135,False,False,5,80,0.65408156308744425
COMPLETE,study2,tweet_emotion,FacebookAI/roberta-base,bitfit,72,FOLLOWUP,collapse_followup_v2_pilot,higher_lr_weighted,a3849cf7bc69fb66cc2aedb2eef2911999250d8b31b455fd9aa4566937584072,1024,374,1421,5,0.00050000000000000001,inverse_sqrt_frequency,34.828744083002675,695812,124648708,0.0055821838121257001,0.80677217245101895,0.73610133708655845,0.68544635061293135,0.72119772184481645,0.66940321017953264,"[558, 358, 123, 382]","[599, 367, 71, 384]",4,1,0.42153413089373681,0.87794110785654211,False,False,5,80,0.66125614250614251
COMPLETE,study2,tweet_emotion,FacebookAI/roberta-base,bitfit,82,FOLLOWUP,collapse_followup_v2_pilot,higher_lr_weighted,54031f5cf710d7f4428041a6de5cd7de5979ebb1bc3d9181bcf88872227f8d0f,1024,374,1421,5,0.00050000000000000001,inverse_sqrt_frequency,34.884436708001886,695812,124648708,0.0055821838121257001,0.80174869298934925,0.72836030964109755,0.68021304594192655,0.71104608948560333,0.66418361695149142,"[558, 358, 123, 382]","[608, 347, 77, 389]",4,1,0.42786769880365932,0.88013362762579095,False,False,5,80,0.64776863854708155
COMPLETE,study2,tweet_emotion,vinai/bertweet-base,lora,42,FOLLOWUP,collapse_followup_v2_pilot,higher_lr_weighted,c51468cf8259b5d6c2a5a9cf2d6904d5e703a22a4bde5fe5e78fbc988d1cef05,1024,374,1421,5,0.00029999999999990001,inverse_sqrt_frequency,31.327796416997444,888580,135791624,0.0065437025777082001,1.0278116464614868,0.67558057705840935,0.57767303558092142,0.71020464022081164,0.57089588259159185,"[558, 358, 123, 382]","[621, 402, 22, 376]",4,1,0.43701618578465862,0.81893767956169261,False,False,5,80,0.56057160764701675
COMPLETE,study2,tweet_emotion,vinai/bertweet-base,lora,52,FOLLOWUP,collapse_followup_v2_pilot,higher_lr_weighted,2050722e762174c8cf67a8f38629db12e475fe5543d62ef4dfcae341e236facd,1024,374,1421,5,0.00029999999999990001,inverse_sqrt_frequency,18.690712291980159,888580,135791624,0.0065437025777082001,1.3294415473937988,0.4736101337086559,0.36564932100152081,0.35062083700409402,0.38514637062309443,"[558, 358, 123, 382]","[524, 438, 0, 459]",3,0.75,0.3687543983110485,0.79035344476640235,False,False,3,48,0.36968680009096822
COMPLETE,study2,tweet_emotion,vinai/bertweet-base,lora,62,FOLLOWUP,collapse_followup_v2_pilot,higher_lr_weighted,d31f20877ed52242e50b2740e7b2c4c51ca2826a1cf683ce75bbf25b9e3f24f4,1024,374,1421,5,0.00029999999999990001,inverse_sqrt_frequency,29.863647541962564,888580,135791624,0.0065437025777082001,1.0178436040878296,0.67769176636171713,0.56874931810117402,0.71760906778521882,0.56700387813768893,"[558, 358, 123, 382]","[636, 405, 17, 363]",4,1,0.4475721323011963,0.80728514504284754,False,False,5,80,0.53821755286847361
COMPLETE,study2,tweet_emotion,vinai/bertweet-base,lora,72,FOLLOWUP,collapse_followup_v2_pilot,higher_lr_weighted,2dbc9b9b3c2e4af17e3777788146f1b9997b651f75152cb423c22d2b48793f72,1024,374,1421,5,0.00029999999999990001,inverse_sqrt_frequency,18.399013791990001,888580,135791624,0.0065437025777082001,1.3362283706665039,0.46516537649542572,0.2975009926718773,0.34368186565946002,0.33124438932180811,"[558, 358, 123, 382]","[1077, 147, 0, 197]",3,0.75,0.75791695988740315,0.51843395838706074,False,False,3,48,0.3135080222864563
COMPLETE,study2,tweet_emotion,vinai/bertweet-base,lora,82,FOLLOWUP,collapse_followup_v2_pilot,higher_lr_weighted,1b7d5474337899b956b99477a9770adfb71b7865dcfbac5fc2f3c6dbd0b665e3,1024,374,1421,5,0.00029999999999990001,inverse_sqrt_frequency,18.187485083006319,888580,135791624,0.0065437025777082001,1.3395078182220459,0.4926108374384236,0.35610781996007962,0.3556121510531689,0.37573069205956222,"[558, 358, 123, 382]","[788, 226, 0, 407]",3,0.75,0.55453905700211115,0.70510915367001104,False,False,3,48,0.3628753314705111
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,adapter,42,FOLLOWUP,collapse_followup_v2_pilot,longer,d54a26d4fef65d96deee8b9584e419fd39ceab550c5ef05b7a428f9373235e68,1024,484,484,5,0.0001,none,21.993941291992087,1782531,125837571,0.0141653322281625,0.93844747543334961,0.59297520661157022,0.24816255944660601,0.19765840220385661,0.33333333333333331,"[61, 287, 136]","[0, 484, 0]",1,0.33333333333333331,1,-0,True,True,3,48,0.2487046632124352
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,adapter,52,FOLLOWUP,collapse_followup_v2_pilot,longer,0cf77c269abf4248efcc2b270307f35170d197bf726d86d772b5e7e02e800431,1024,484,484,5,0.0001,none,22.126163250009995,1782531,125837571,0.0141653322281625,0.93676823377609242,0.59297520661157022,0.24816255944660601,0.19765840220385661,0.33333333333333331,"[61, 287, 136]","[0, 484, 0]",1,0.33333333333333331,1,-0,True,True,3,48,0.2487046632124352
